Slug,Firm,Town,Address,Phone,Website,Email,Director,First Name,Last Name,Listing URL,Rating,Reviews,Branches Found,Flags,Search Term,Place ID,Probe Sent,Probe Address,First Reply,Lag (hrs),Reply Channel,Emailed,Called,Outcome
shugi-estates-abr8,Shugi Estates,Ingatestone,"Absolute House, Coptfold Hall Farm, 120 Writtle Rd, Margaretting, Ingatestone CM4 0EL, UK",01245 830250,http://www.shugiestates.com/,nico@shugiestates.com,,,,,5.0,4,1,no listing URL — get one by hand before probing,estate agents,ChIJdTRNAfPr2EcRwFN_xObVQ10,,,,,,,,
holden-estate-h386,Holden Estate Agents,Maldon,"15 High St, Maldon CM9 5PE, UK",01621 841011,http://www.holdenestates.co.uk/,darryl@holdenestates.co.uk,Ryan Holden,Ryan,Holden,,4.9,271,1,no listing URL — get one by hand before probing,estate agents,ChIJzZ-n_y7h2EcRfBJSLYaIXdg,,,,,,,,
ardent-estates-4w3e,Ardent Estates,Maldon,"2 Tintagel Way, Maldon CM9 6YR, UK",01621 851014,http://www.ardentestates.co.uk/,info@ardentestates.co.uk,Paul Saggs,Paul,Saggs,,4.9,47,1,no listing URL — get one by hand before probing,estate agents,ChIJG_PR_y7h2EcRkJdE2Dfozuw,,,,,,,,
maldon-lettings-44bw,MALDON LETTINGS LIMITED,Maldon,"11 High St, Maldon CM9 5PB, UK",01621 850145,http://www.maldonlettings.co.uk/,alison@maldonlettings.co.uk,Claire Drake,Claire,Drake,,4.4,93,1,no listing URL — get one by hand before probing,estate agents,ChIJI7Z9_y7h2EcRzmW2QaVhCHM,,,,,,,,
keymann-residential-ed5b,KeyMann Residential Lettings Ltd,Maldon,"17, Kings Head Centre, King's Head Centre, 38 High St, Maldon CM9 5PN, UK",01621 855994,http://www.keymann.co.uk/,info@keymann.co.uk,John Keyes,John,Keyes,https://keymann.co.uk/property/33-strawberry-lane-tolleshunt-knights-maldon-essex-co5-0rx/,5.0,10,1,,estate agents,ChIJZzk9Cy_h2EcR7a4mfAcDMpk,,,,,,,,
starting-point-d4gk,Starting Point Residential,Maldon,"34 Quest Pl, Maldon CM9 5AG, UK",01621 488321,https://startingpointresidential.co.uk/,enquiries@startingpointresidential.co.uk,Joe Ross,Joe,Ross,,5.0,30,1,no listing URL — get one by hand before probing,estate agents,ChIJ_aJW02bh2EcRCL4Bs1-mnC0,,,,,,,,
keeleys-lettings-nh4s,Keeleys Lettings Agent & Property Management in Maldon,Maldon,"Hillcrest House, 4 Market Hill, Maldon CM9 4PZ, UK",01621 842444,https://www.keeleysessex.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Maldon,info@keeleysessex.co.uk,,,,,5.0,9,1,no listing URL — get one by hand before probing,estate agents,ChIJ9dbnYiXh2EcR2uHsyKi2n90,,,,,,,,
david-martin-i8su,David Martin Estate Agents Ltd,Maldon,"35A Church Rd, Tiptree, Colchester CO5 0SU, UK",01621 815815,http://www.dmgtiptree.co.uk/,tiptree@dmgtiptree.co.uk,David Martin,David,Martin,https://dmgtiptree.co.uk/property/rosemary-court-rectory-road-tiptree-essex-2/,4.9,72,1,,estate agents,ChIJec8FC4ji2EcRnefyfOPXm2g,,,,,,,,
curtis-o-h510,Curtis O'Boyle,Maldon,"18 High St, Maldon CM9 5PJ, UK",01621 855558,http://www.curtisoboyle.co.uk/,burnham@curtisoboyle.co.uk,Anthony O'Boyle,Anthony,O'Boyle,,5.0,6,1,no listing URL — get one by hand before probing,estate agents,ChIJA0vXAS_h2EcRtEfHJnONBTw,,,,,,,,
john-alexander-87le,John Alexander Estate Agents & Letting Agents Tiptree,Maldon,"1 Church Rd, Tiptree, Colchester CO5 0LG, UK",01621 814334,http://www.john-alexander.co.uk/,amber@john-alexander.co.uk,Craig Ganderton,Craig,Ganderton,,4.5,88,1,no listing URL — get one by hand before probing,estate agents,ChIJd3Adlo3i2EcRlRkg9XpHgEo,,,,,,,,
hardy-king-z6j9,Hardy-King Estate Agents,Maldon,"3, Ketleys Place, 84a Church Rd, Tiptree, Colchester CO5 0HB, UK",01621 834110,http://www.hardy-king.com/,info@hardy-king.com,Craig Hardy-King,Craig,Hardy-King,https://www.hardy-king.com/property/margery-allingham-place-tolleshunt-darcy-2/,4.9,40,1,,estate agents,ChIJ50Ahr5_j2EcRlqWB5RhdGTM,,,,,,,,
game-estate-5str,Game Estate Agents Ltd,Maldon,"3 High St, Tollesbury, Maldon CM9 8RG, UK",01621 869986,http://www.game-estates.co.uk/,keith@game-estates.co.uk,,,,https://www.game-estates.co.uk/property/1870-3bedroom-park-home-for-sale,4.0,4,1,,estate agents,ChIJ41SlI5ke2UcR7BLTrcxRebQ,,,,,,,,
hibbert-foy-lai4,Hibbert-Foy Property,Maldon,"high trees, Hall Farm, Maldon CM9 6SQ, UK",01621 731697,https://hibbertfoyproperty.co.uk/,reuben@hibbertfoyproperty.co.uk,Reuben Hibbert-Foy,Reuben,Hibbert-Foy,,4.2,5,1,no listing URL — get one by hand before probing,estate agents,ChIJnzsXLSTn2EcRYjkUOJcxEAc,,,,,,,,
right-buy-tgei,Right Buy Homes,Maldon,"Rosebank, Minster Way, Maldon CM9 6YT, UK",020 3322 8097,http://www.rightbuyhomes.com/,sales@rightbuyhomes.com,Steve Long,Steve,Long,https://www.rightbuyhomes.com/index.php/properties/global-alternative-investments,,0,1,,estate agency,ChIJNTAWedTg2EcReWhJd1wzO1U,,,,,,,,
the-healthcare-4uxh,The Healthcare Property Company Limited,Maldon,"South House Farm, Mundon Rd, Maldon CM9 6PP, UK",020 3617 8730,http://www.thehealthcarepropertycompany.co.uk/,office@thpco.co.uk,,,,,4.0,2,1,no listing URL — get one by hand before probing,property for sale,ChIJWSchoebg2EcRqqYm05tAHEE,,,,,,,,
harris-and-sc0t,Harris and Wood Witham,Witham,"66A Newland St, Witham CM8 1AH, UK",01376 780222,https://harrisandwood.co.uk/,chesterwell@harrisandwood.co.uk,,,,https://harrisandwood.co.uk/properties/3-bedroom-house-house-for-sale-in-the-saffron-(plot-17)-off-coopers-crescent-west-bergholt-colchester-co6/536238,5.0,266,1,,estate agents,ChIJjTIV8VLl2EcRb8WflWcIag4,,,,,,,,
yaxley-homes-g5yv,Yaxley Homes,Witham,"51 Newland St, Witham CM8 2BD, UK",01376 519092,http://www.yaxleyhomes.co.uk/,witham@yaxleyhomes.co.uk,Ricky Lee,Ricky,Lee,https://www.yaxleyhomes.co.uk/property/1003/?propInd=S&,4.4,81,1,,estate agents,ChIJ_____1zk2EcRWEP2jImtwu4,,,,,,,,
witlet-q9bi,WitLet,Witham,"10 Guithavon St, Witham CM8 1BN, UK",01376 502500,http://www.witlet.co.uk/,info@witlet.co.uk,,,,https://www.witlet.co.uk/property/orchard-gardens-colchester/,3.8,37,1,,estate agents,ChIJUR6OkFzk2EcRtB7nXp5eJoY,,,,,,,,
baker-estates-em8x,Baker Estates Essex,Witham,"34 The St, Wickham Bishops, Witham CM8 3NN, UK",01621 333765,http://www.baker-estates.co.uk/,lettings@baker-estates.co.uk,,,,https://baker-estates.co.uk/property/shirebourn-vale-south-woodham-ferrers-chelmsford/,5.0,32,1,,estate agents,ChIJ8zOOEUSv404RYlVzlZnCURE,,,,,,,,
brink-riley-dypi,Brink Riley Properties Ltd,Witham,"8 Freebournes Rd, Witham CM8 2BL, UK",01376 510669,http://www.brinkriley.co.uk/,guildhall@brinkriley.co.uk,Natalie Mansfield,Natalie,Mansfield,,2.0,4,1,no listing URL — get one by hand before probing,estate agents,ChIJb9aFpF3k2EcR3ph0a-47L8I,,,,,,,,
riverside-estates-sv3y,Riverside Estates,Witham,"2 The St, Feering, Colchester CO5 9QQ, UK",01376 571111,http://www.riversideestates.co.uk/,sales@riversideestates.co.uk,,,,https://www.riversideestates.co.uk/property/attractive-four-bed-linked-detached-family-house-widgeon-place-kelvedon-colchester-essex/,5.0,16,1,,estate agents,ChIJYUxfCDDj2EcR1u5MIE7dYig,,,,,,,,
witham-auctions-okhn,Witham Auctions,Witham,"The Sale Room, 132 Newland Street, Car Park Entrance in, rear of Past Caring, Located opposite, Mill Ln, Witham CM8 1BA, UK",07561 187318,https://www.withamauctions.co.uk/,ask@withamauctions.co.uk,,,,,4.9,35,1,no listing URL — get one by hand before probing,estate agents,ChIJVVWVumbk2EcRonDak6jQqp8,,,,,,,,
boydens-west-8i3e,"Boydens West Essex Branch, Kelvedon",Witham,"121 High St, Kelvedon, Colchester CO5 9AA, UK",01376 570335,https://www.boydens.co.uk/branches/west-essex,kelvedon@boydens.co.uk,Jules Cain,Jules,Cain,https://www.boydens.co.uk/sales/selling-guide,4.8,179,1,,estate agents,ChIJ6ZU37CIF2UcRCh5ZEwK2vAY,,,,,,,,
heritage-estate-vzkx,Heritage Estate Agents,Witham,"3b, Manchester House, Church Street, Coggeshall, Colchester CO6 1TU, UK",01376 566890,http://www.essexheritage.co.uk/,andy@essexheritage.co.uk,,,,https://www.essexheritage.co.uk/properties/letting/uncategorized/uncategorized/halstead-2/,4.7,92,1,,estate agents,ChIJAXi5Hpb82EcRRV0-s529HRo,,,,,,,,
just-recruitment-u4mv,Just Recruitment Group Ltd,Witham,"Crispin House, Maldon Rd, Witham CM8 2UR, UK",01376 517079,https://justrecruitment.co.uk/,info@justrecruitment.co.uk,Jenny Wrightson,Jenny,Wrightson,,4.5,39,1,no listing URL — get one by hand before probing,estate agency,ChIJV-2mP0Dk2EcR8YyqNgf5NWI,,,,,,,,
southfields-copb,Southfields,Witham,"Conrad Rd, Witham CM8 2QJ, UK",01376 230367,https://www.beechgrovehomes.co.uk/property-developments/witham-southfields?utm_source=google_my_business&utm_medium=knowledge_graph,southfields@countrywide.co.uk,,,,,5.0,4,1,no listing URL — get one by hand before probing,property for sale,ChIJlYGijrbl2EcRvxw36mSTrxA,,,,,,,,
branocs-estates-nzah,Branocs Estates,Braintree,"Phoenix House, Braintree CM7 1ER, UK",01376 386555,http://www.branocsestates.co.uk/,alisha@branocsestates.co.uk,Tristan Woolfenden,Tristan,Woolfenden,https://www.branocsestates.co.uk/property/34852274-denton-crescent-black-notley-braintree/,4.3,167,1,,estate agents,ChIJ1wb9B0Lw2EcRkXvkksAKW-8,,,,,,,,
michaels-property-0yjt,Michaels Property Consultants Braintree,Braintree,"George Yard Shopping Centre, 61 High St, Braintree CM7 1JX, UK",01376 337400,https://www.michaelsproperty.co.uk/branches/braintree,braintree@michaelsproperty.co.uk,Patrick Forrester,Patrick,Forrester,https://www.michaelsproperty.co.uk/property/list/forsale,4.6,72,1,,estate agents,ChIJmRhC_Wnw2EcR6XJn-6slPtg,,,,,,,,
joscelyne-chase-o1ti,Joscelyne Chase,Braintree,"18-20 Bank St, Braintree CM7 1UP, UK",01376 322222,http://www.joscelynechase.co.uk/,bryan@joscelynechase.co.uk,,,,,4.4,72,1,no listing URL — get one by hand before probing,estate agents,ChIJmWiHt2nw2EcREC2K1oZCzUE,,,,,,,,
katrina-barnes-i6ls,Katrina Barnes,Braintree,"24 Charlecote Rd, Great Notley, Braintree CM77 7YQ, UK",07508 844430,https://katrinabarnes.exp.uk.com/,katrina.barnes@exp.uk.com,Katrina Barnes,Katrina,Barnes,https://katrinabarnes.exp.uk.com/property/broadoaks-crescent-kings-park-braintree/1262246/,5.0,117,1,,estate agents,ChIJp_n9XCH_TKMRCevZgDZkteo,,,,,,,,
gateway-residential-d5tv,Gateway Residential Sales & Lettings Ltd,Braintree,"Gateway House, Freeport office village, Century Dr, Braintree CM77 8YG, UK",01371 300120,http://www.gatewaypropertyuk.com/,enquiries@gatewaypropertyuk.com,James Bishop,James,Bishop,,5.0,23,1,no listing URL — get one by hand before probing,estate agents,ChIJP83ozCDx2EcRzO5NdUW8OSw,,,,,,,,
centurion-property-pyh1,Centurion Property Services,Braintree,"Sible Hedingham, Halstead CO9 3FF, UK",01376 550010,http://www.centurion-property.co.uk/,info@centurion-property.co.uk,,,,https://www.centurion-property.co.uk/property/residential/for-sale/essex/sible-hedingham/westrop-drive/BF011561,4.6,28,1,,estate agents,ChIJC9XQBULw2EcRWR_-sWKRcGI,,,,,,,,
steven-rich-lfs6,Steven Rich Property Management LTD,Braintree,"Stocks Farm Ln, Rayne, Braintree CM77 6SY, UK",07383 659689,https://www.richproperty.co.uk/,hello@richproperty.co.uk,Steven Rich,Steven,Rich,https://www.richproperty.co.uk/properties/new%7Cspacious-house%7C2-bedrooms%7C5-beds%7C5-guests%7Cwifi,4.9,36,1,,estate agents,ChIJeZmdo5sukEoRwd9JR6h42lU,,,,,,,,
gray-co-ac7a,Gray & Co,Braintree,"The Old Bakery, 5 High St, Great Bardfield, Braintree CM7 4RF, UK",01371 810154,http://www.grayandcompany.co.uk/,enquiries@grayandcompany.co.uk,,,,http://www.grayandcompany.co.uk/property/uploaded/CMPMemberShipCertificate.pdf,4.2,32,1,,estate agents,ChIJPft2Q2P02EcRpccJYU8Dr3U,,,,,,,,
grange-property-aiso,GRANGE PROPERTY SERVICES LTD,Braintree,"Darby Grange, Lynderswood Business Park, Lynderswood Ln, London Rd, Black Notley, Braintree CM77 8QN, UK",01245 360715,http://www.grangeproperty.co.uk/,fiona@grangeproperty.co.uk,Fiona Waugh,Fiona,Waugh,https://www.grangeproperty.co.uk/properties-for-sale/property/94-coggeshall-road-braintree,,0,1,,estate agency,ChIJb_EGsCzu2EcRxbYJjVxFW6E,,,,,,,,
mulberry-homes-hl7w,Mulberry Homes at Braintree,Braintree,"Rayne Rd, Braintree CM7 2QQ, UK",0333 121 1060,https://mulberryhomes.co.uk/developments/mulberry-homes-at-braintree/overview/,mulberryhomesatbraintree@mulberryhomes.co.uk,,,,,5.0,1,1,no listing URL — get one by hand before probing,property for sale,ChIJq7pM7k7x2EcROSbwVuKjj1A,,,,,,,,
kingswood-estate-cfjm,Kingswood Estate Agents Basildon,Basildon,"36 Southernhay, Basildon SS14 1ET, UK",01268 272222,http://www.kingswoodbasildon.com/,info@kingswoodbasildon.com,Max Ayres,Max,Ayres,https://kingswoodbasildon.com/property/reeves-close-langdon-hills-basildon-essex-ss16-6pd/,4.8,251,1,,estate agents,ChIJYVk3aZrG2EcRDDY6laCvhmU,,,,,,,,
lara-bradley-8bew,Lara Bradley Estate Agent,Basildon,"London Rd, Pitsea, Basildon SS13 2EP, UK",07795 002226,https://iad.uk.com/real-estate-agent/lara.bradley,lara.bradley@iad.uk.com,Lara Bradley,Lara,Bradley,,5.0,71,1,no listing URL — get one by hand before probing,estate agents,ChIJ-zzINLunCS4R5_amZtOGrIA,,,,,,,,
daniel-property-koql,Daniel Property Group,Basildon,"Unit 5, Epic House, Olympic Business Centre, Paycocke Rd, Basildon SS14 3EX, UK",07534 550339,https://danielproperty.co.uk/,daniel@danielproperty.co.uk,Daniel Ismail,Daniel,Ismail,,5.0,33,1,no listing URL — get one by hand before probing,estate agents,ChIJMeA6cw_-AK8RgJx3cIk4Esw,,,,,,,,
gecko-estate-1t2o,Gecko Estate Agents Ltd,Basildon,"50 Nottingham Way, Langdon Hills, Basildon SS16 6TR, UK",01268 426196,http://www.geckoproperty.co.uk/,info@geckoproperty.co.uk,,,,,5.0,1,1,no listing URL — get one by hand before probing,estate agency,ChIJGbJVQxLH2EcRyHO5CVi6s3o,,,,,,,,
essex-properties-ogw2,Essex Properties Limited,South Woodham Ferrers,"11 Reeves Way, South Woodham Ferrers, Chelmsford CM3 5XF, UK",01245 329652,https://www.essexproperties.co.uk/,accounts@essexproperties.co.uk,,,,https://www.essexproperties.co.uk/property/tylers-ride-south-woodham-ferrers-essex/,4.2,69,1,,estate agents,ChIJJ7ZFLqrd2EcRrDyuYZ9Pw5I,,,,,,,,
nbs-properties-hdzr,NBS Properties LLP,South Woodham Ferrers,"Unit 91 Haltwhistle Rd, South Woodham Ferrers, Chelmsford CM3 5ZA, UK",07881 785626,http://nbscommprops.com/,boss@shakieuk.com,,,,,,0,1,no listing URL — get one by hand before probing,estate agents,ChIJY4miyhrd2EcRkUbPHJpx2Ug,,,,,,,,
williams-and-1xxm,Williams And Donovan Hockley Sales,South Woodham Ferrers,"1, Woodlands Parade, Main Rd, Hockley SS5 4QU, UK",01702 200666,https://www.williamsanddonovan.com/branches/hockley,lettings@wdlets.com,,,,https://www.williamsanddonovan.com/properties/sales/most-recent-first,4.7,109,1,,estate agents,ChIJ7YBvRAbc2EcRw4pCEoXmTtM,,,,,,,,
hall-s-v245,Hall's Property Group,Great Baddow,"47 Church St, Great Baddow, Chelmsford CM2 7JA, UK",01708 875088,http://www.hallspropertygroup.co.uk/,samm@hallspropertygroup.co.uk,Samm Hall,Samm,Hall,https://www.hallspropertygroup.co.uk/property/flat-crick-court-spring-place-barking-rs0036/,5.0,13,1,,estate agents,ChIJDzBswDHp2EcR3trbCy1GcjM,,,,,,,,
mary-bugg-iqdy,Mary Bugg Powered By eXp,Great Baddow,"52 W Lawn, Chelmsford CM2 8SJ, UK",01245 948484,http://marybugg.exp.uk.com/,mary.bugg@exp.uk.com,Mary Bugg,Mary,Bugg,https://marybugg.exp.uk.com/property/mill-lane-broomfield-chelmsford-cm1-7bq/1475502/,5.0,127,1,,estate agents,ChIJw25_1CDJRyURnM1jz31PM7c,,,,,,,,
elwell-taylor-vqxv,Elwell Taylor,Great Baddow,"65 New London Rd, Chelmsford CM2 0ND, UK",01245 266088,http://www.elwelltaylor.co.uk/,ae@elwelltaylor.co.uk,Adam Elwell,Adam,Elwell,https://www.elwelltaylor.co.uk/property/instagram.com/elwell_taylor/,4.6,149,1,,estate agency,ChIJqbbdXNbr2EcR7mB9vT9GyQg,,,,,,,,
domans-residential-u2pm,Domans Residential Ltd,Great Baddow,"Moulsham Mill, Parkway, Chelmsford CM2 7PX, UK",01245 981222,https://www.domansresidential.co.uk/,info@domansresidential.co.uk,,,,,4.6,56,1,no listing URL — get one by hand before probing,property for sale,ChIJgxJZ2YT62EcRgtfSTWIZhb8,,,,,,,,
cooper-hirst-d1it,Cooper Hirst Ltd,Great Baddow,"Goldlay House, 114 Parkway, Chelmsford CM2 7PR, UK",01245 258141,https://www.cooper-hirst.com/,info@cooper-hirst.com,,,,,3.7,13,1,no listing URL — get one by hand before probing,property for sale,ChIJ27OL3X7p2EcR_prqRdB8JTQ,,,,,,,,
luux-venture-jr52,Luux Venture Group,Great Baddow,"47 Church St, Great Baddow, Chelmsford CM2 7JA, UK",020 3051 0210,https://www.luuxventuregroup.com/,info@luuxventuregroup.com,,,,https://www.luuxventuregroup.com/properties/3-bedroom-detached-house-for-sale/,5.0,9,1,,property for sale,ChIJM-rvuAzp2EcRMXepIPeNvmo,,,,,,,,
colubrid-estate-n1j8,Colubrid Estate Agents,Great Baddow,"16 Village Sq, Chelmsford CM2 6RF, UK",01245 976936,http://www.colubrid.co.uk/,hello@colubrid.co.uk,Andrew Mutlow,Andrew,Mutlow,https://colubrid.co.uk/property/blackbush-lane-horndon-on-the-hill/,4.8,131,1,,property for sale,ChIJQRsi_obp2EcRiCked56dGyE,,,,,,,,
kemsley-llp-g0l0,Kemsley LLP,Great Baddow,"113 New London Rd, Chelmsford CM2 0QT, UK",01245 358988,http://www.kemsley.com/,basildon@kemsley.com,Tim Collins,Tim,Collins,,3.3,12,1,no listing URL — get one by hand before probing,property for sale,ChIJf1RlwNPr2EcR3FxZMBIAiLg,,,,,,,,
garrington-property-koy3,Garrington Property Finders,Great Baddow,"Elizabeth House Business Centre, Elizabeth House, Baddow Rd, Chelmsford CM2 0DG, UK",01245 905377,https://www.garringtonsoutheast.co.uk/,info@garrington.co.uk,,,,,5.0,1,1,no listing URL — get one by hand before probing,property for sale,ChIJtefFBtvr2EcRzY6ZM7FwPxM,,,,,,,,
national-trust-i9xy,National Trust,Danbury,"National Trust Danbury Common The Armoury, Penny Royal Rd, Danbury, Chelmsford CM3 4JJ, UK",01245 227662,https://www.nationaltrust.org.uk/danbury-commons-and-blakes-wood,danbury@nationaltrust.org.uk,,,,,4.7,190,1,no listing URL — get one by hand before probing,property for sale,ChIJ6Vyy_Nvn2EcRA3ePD4W_1HM,,,,,,,,
danbury-ridge-pdei,Danbury Ridge Wine Estate,Danbury,"Hyde Ln, Danbury, Chelmsford CM3 4LN, UK",,http://www.danburyridge.com/,info@danburyridge.com,Michael Bunker,Michael,Bunker,,5.0,6,1,no listing URL — get one by hand before probing,property for sale,ChIJc_8wbZjn2EcRv3doGkwgkjI,,,,,,,,
cheffins-newmarket-cmj2,Cheffins Newmarket,Stock,"Black Bear Court, 16 High St, Newmarket CB8 9AF, UK",01638 663228,https://www.cheffins.co.uk/residential/offices-contacts/newmarket.htm,newmarket@cheffins.co.uk,,,,https://www.cheffins.co.uk/properties/burroughs-green.htm,4.8,192,1,,estate agency,ChIJr51oUG9C2EcR4LyEekYiOk8,,,,,,,,
pocock-shaw-m31t,Pocock + Shaw,Stock,"2 Wellington St, Newmarket CB8 0HT, UK",01638 668284,https://www.pocock.co.uk/,burwell@pocock.co.uk,,,,,4.7,144,1,no listing URL — get one by hand before probing,estate agency,ChIJTbOfKWpD2EcRsVlLQU2K-3k,,,,,,,,
david-burr-tfbj,David Burr Newmarket,Stock,"156 High St, Newmarket CB8 9AQ, UK",01638 669035,https://davidburr.co.uk/our-locations/newmarket/,newmarket@davidburr.co.uk,Nick Mills,Nick,Mills,https://davidburr.co.uk/property/burwell-cambridge-cambridgeshire-3/,4.9,145,1,,estate agency,ChIJbZ4InGVC2EcR2mE6liZWxVE,,,,,,,,
ensum-brown-ex9i,Ensum Brown Estate Agents Newmarket,Stock,"Cleveland House, 39 Old Station Rd, Newmarket CB8 8QE, UK",01638 280030,https://ensumbrown.com/newmarket-sales/,abby.williams@ensumbrown.com,Neil Wise,Neil,Wise,https://ensumbrown.com/property/princes-mews-carrington-court-princes-mews-sg8-3/,5.0,67,1,,estate agency,ChIJRwo7tN9D2EcRDRqVKaHz9ik,,,,,,,,
morris-armitage-wg41,Morris Armitage Estate Agents Newmarket,Stock,"Godolphin House, 2 The Avenue, Newmarket CB8 9AA, UK",01638 560221,http://www.morrisarmitage.co.uk/,ben.wuttke@morrisarmitage.co.uk,Simon Morris,Simon,Morris,https://morrisarmitage.co.uk/property/wellington-close-chedburgh-bury-st-edmunds/,4.8,316,1,,estate agency,ChIJAYOz7WVC2EcRiIVn4hFWGgo,,,,,,,,
tylers-estate-1rwa,Tylers Estate Agents and Residential Lettings,Stock,"16a High St, Newmarket CB8 8LB, UK",01638 660303,http://www.tylers.net/,careers@connellsgroup.co.uk,,,,https://www.tylers.net/properties/22005853/sales/HIS100276,4.6,42,1,,estate agency,ChIJdy-nW2hC2EcR0QWP9iT4ps4,,,,,,,,
lee-wilkinson-uevj,Lee Wilkinson Estate Agents Ltd,Stock,"1, Cutbush Cottage, Newmarket CB8 8XN, UK",01440 979980,https://www.leewilkinson.exp.uk.com/,lee.wilkinson@exp.uk.com,Lee Wilkinson,Lee,Wilkinson,,5.0,23,1,no listing URL — get one by hand before probing,estate agency,ChIJa0-8D-Fb2EcRizY63JzEI24,,,,,,,,
countryside-estates-q72g,Countryside Estates,Benfleet,"205 High Rd, South Benfleet, Benfleet SS7 5HY, UK",01268 755555,http://www.countrysideestates.co.uk/,lettings@countrysideestates.co.uk,,,,https://www.countrysideestates.co.uk/properties-for-sale/property/362-lowlands-road-hullbridge-hockley,5.0,53,1,,estate agents,ChIJ2w8A3CvF2EcRd860kAd5J5s,,,,,,,,
aspire-estate-aus5,Aspire Estate Agents,Benfleet,"227 High Rd, South Benfleet, Benfleet SS7 5HZ, UK",01268 777400,http://www.aspireestateagents.co.uk/,benfleet@aspireestateagents.co.uk,Edward Wilding,Edward,Wilding,,4.7,276,1,no listing URL — get one by hand before probing,estate agents,ChIJq3dA1ivF2EcRYNRPFWvHawU,,,,,,,,
morgan-brookes-2cp4,Morgan Brookes,Benfleet,"Morgan Brookes, 105 High St, South Benfleet, Benfleet SS7 1ND, UK",01268 755626,http://www.morganbrookes.co.uk/,info@morganbrookes.co.uk,Nicole Brookes,Nicole,Brookes,https://morganbrookes.co.uk/property/forest-view-london-road-benfleet/,4.9,278,1,,estate agents,ChIJQzF0yP3a2EcR_wsyU9Bt82k,,,,,,,,
fisks-ltd-d8u5,Fisks Ltd,Benfleet,"146 London Rd, South Benfleet, Benfleet SS7 5SQ, UK",01268 565555,http://www.fisks.co.uk/,albie@fisks.co.uk,John Pring,John,Pring,,4.4,64,1,no listing URL — get one by hand before probing,estate agents,ChIJOzv5J8XE2EcRx2lnC6EfjuE,,,,,,,,
robert-michael-zuab,Robert Michael Estate Agents,Benfleet,"83 Hart Rd, Thundersley, Benfleet SS7 3PB, UK",01268 753889,http://www.robertmichael.co.uk/,sales@robertmichael.co.uk,,,,,4.9,54,1,no listing URL — get one by hand before probing,estate agents,ChIJzXHgWDrb2EcRPRdRieH88gI,,,,,,,,
brown-brand-28l8,Brown & Brand,Benfleet,"221 London Rd, Hadleigh, Benfleet SS7 2RD, UK",01702 552966,http://www.brownbrand.co.uk/,info@bbsurvey.co.uk,Paul Brand,Paul,Brand,https://www.brownbrand.co.uk/properties/letting/uncategorized/benfleet/springfield-benfleet/,4.4,148,1,,estate agents,ChIJ0YbWdf7a2EcR-utvI5cbUus,,,,,,,,
richard-poyntz-d7ni,Richard Poyntz and Co,Benfleet,"11 Knightswick Rd, Canvey Island SS8 9PA, UK",01268 699599,http://www.richardpoyntz.com/,admin@richardpoyntz.com,Richard Poyntz,Richard,Poyntz,https://richardpoyntz.com/essex/canvey-island/sales/from-2-bed/up-to-2-bed,4.8,190,1,,estate agents,ChIJv36HL5ja2EcRJ64mUcuCZEc,,,,,,,,
cross-tillett-1oaa,Cross & Tillett,Benfleet,"105 London Rd, South Benfleet, Benfleet SS7 5TG, UK",01268 904777,https://www.crossandtillett.co.uk/,paul@crossandtillett.co.uk,Paul Cross,Paul,Cross,,5.0,2,1,no listing URL — get one by hand before probing,estate agents,ChIJ7QPRnyfF2EcRUeuIy8D6FN0,,,,,,,,
nairnsey-fisher-ud8o,Nairnsey Fisher & Lewis,Benfleet,"109-111 London Rd, South Benfleet, Benfleet SS7 5UH, UK",01268 566655,http://www.nfl-legal.co.uk/,aaron.spencer@nfl-legal.co.uk,,,,,4.5,86,1,no listing URL — get one by hand before probing,estate agents,ChIJsce6asPE2EcRk3dMoWCC4tk,,,,,,,,
stephen-lane-o6kg,Stephen Lane Estate Agents,Benfleet,"76 Furtherwick Rd, Canvey Island SS8 7AJ, UK",01268 514777,http://www.stephenlaneestates.co.uk/,enquiries@stephenlaneestates.co.uk,Stephen Lane,Stephen,Lane,https://www.stephenlaneestates.co.uk/properties/complaints-procedure/,4.8,111,1,,estate agency,ChIJJ39S-Jja2EcRmAzWFyDFC5w,,,,,,,,
oakleighblue-bk3q,OakleighBlue,Hockley,"9, Stonebridge House, Main Rd, Hawkwell, Hockley SS5 4JH, UK",01702 205051,http://www.oakleighblue.co.uk/,info@oakleighblue.co.uk,Keith Allen,Keith,Allen,,4.4,9,1,no listing URL — get one by hand before probing,estate agents,ChIJzWKfpgbc2EcR3vSUqB-2VAI,,,,,,,,
sharp-lettings-wtu0,Sharp Lettings,Hockley,"PO Box 2124, Hockley SS5 9AH, UK",01702 233064,https://sharplettings.com/,info@sharplettings.com,,,,,5.0,2,1,no listing URL — get one by hand before probing,estate agents,ChIJzWKfpgbc2EcR7GmOn2f7GKA,,,,,,,,
